period,exportImportType,coalRankId,coalRankDescription,countryId,countryDescription,customsDistrictId,customsDistrictDescription,price,quantity,price-units,quantity-units
Q1 2025,Exports,TOT,All,TOT,All; Non-United States,BA_MD,"Baltimore, MD",96.83,6664251,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,ID,Indonesia,SF_CA,"San Francisco, CA",66.8,66690,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,ID,Indonesia,NO_VA,"Norfolk, VA",w,169,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,ID,Indonesia,NY_NY,"New York City, NY",1043,4,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,IN,India,TOT,Total,79.68,4157855,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,IN,India,NO_VA,"Norfolk, VA",w,257016,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,IN,India,NY_NY,"New York City, NY",478.32,66,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,IN,India,NO_LA,"New Orleans, LA",72.68,370471,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,IN,India,BA_MD,"Baltimore, MD",81.33,3530302,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,GY,Guyana,TOT,Total,303,85,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,GY,Guyana,NY_NY,"New York City, NY",601.29,7,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,GY,Guyana,HG_TX,"Houston-Galveston, TX",276.23,78,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,GT,Guatemala,TOT,Total,622.36,44,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,GT,Guatemala,HG_TX,"Houston-Galveston, TX",622.36,44,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,DE,"Germany, Federal Republic of",TOT,Total,90.78,178538,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,DE,"Germany, Federal Republic of",NO_VA,"Norfolk, VA",w,178538,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,EG,Egypt,TOT,Total,79.02,824248,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,TA_FL,"Tampa, FL",1865.62,37,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,SE_WA,"Seattle, WA",31.94,1155683,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,SF_CA,"San Francisco, CA",66.98,66711,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,SD_CA,"San Diego, CA",335.49,139,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,PO_ME,"Portland, ME",100.36,304351,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,PH_PA,"Philadelphia, PA",203.47,52734,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,PE_ND,"Pembina, ND",233.69,612,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,OTH,Other Ports,65.02,2186,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,OG_NY,"Ogdensburg, NY",310.31,8841,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,NO_VA,"Norfolk, VA",w,1523307,dollars per short ton,short tons
Q1 2025,Exports,STM,Steam Coal,TOT,All; Non-United States,NO_AZ,"Nogales, AZ",763.83,12,dollars per short ton,short tons
