WEEK_ENDING_DATE,CENTRAL_APP,NORTHERN_APP,ILLIOIS_BASIN,POWDER_RIVER_BASIN,UINTA_BASIN
2025-07-04,79.0,58.0,49.0,14.3,25.3
2025-06-27,79.0,58.0,49.0,14.3,25.3
2025-06-20,79.0,58.0,47.25,14.3,25.3
2025-06-13,79.0,58.0,47.25,14.3,25.3
2025-06-06,79.0,57.0,46.5,14.3,25.3
2025-05-30,79.0,57.0,46.5,14.3,25.3
2025-05-23,79.0,57.0,46.5,14.3,25.3
2025-05-16,79.0,57.0,46.5,14.3,25.3
2025-05-09,78.0,55.0,46.5,14.3,25.3
2025-05-02,78.0,55.0,46.5,14.3,25.3
2025-04-25,78.0,55.0,46.5,14.3,25.3
2025-04-18,78.0,55.0,46.5,14.3,25.3
2025-04-11,78.0,54.0,47.0,14.3,25.3
2025-04-04,78.0,54.0,47.0,14.3,25.3
2025-03-28,78.0,54.0,45.0,14.2,25.3
2025-03-21,78.0,54.0,45.0,14.2,25.3
2025-03-14,76.0,50.0,44.0,14.2,25.3
2025-03-07,76.0,50.0,44.0,14.2,25.3
2025-02-28,76.0,50.0,44.0,14.2,25.3
2025-02-21,76.0,50.0,44.0,14.2,25.3
2025-02-14,76.5,50.0,44.5,14.2,25.3
2025-02-07,76.5,50.0,44.5,14.2,25.3
2025-01-31,76.5,51.0,44.5,14.2,25.3
2025-01-24,76.5,51.0,44.5,14.2,25.3
2025-01-17,77.3,50.5,44.0,14.15,25.3
2025-01-10,77.3,50.5,44.0,14.15,25.3
2025-01-03,75.0,49.0,44.0,14.2,25.3
2024-12-27,75.25,49.0,44.0,14.2,25.3
2024-12-20,75.25,49.0,44.0,14.2,25.3
2024-12-13,75.25,50.0,44.0,14.2,25.3
2024-12-06,76.25,50.0,45.0,14.2,25.3
2024-11-29,78.65,48.5,41.5,14.05,25.3
2024-11-22,78.65,48.5,41.5,14.05,25.3
2024-11-15,78.65,48.5,41.5,14.05,25.3
2024-11-08,76.3,47.0,41.5,14.1,25.3
2024-11-01,76.3,47.0,41.5,14.1,25.3
2024-10-25,74.0,47.0,41.5,14.15,25.3
2024-10-18,74.0,47.0,41.5,14.15,25.3
2024-10-11,74.0,47.0,41.5,14.2,25.3
2024-10-04,74.0,47.0,41.5,14.2,25.3
2024-09-27,82.15,52.55,42.5,13.9,25.3
2024-09-20,82.15,52.55,42.5,13.9,25.3
2024-09-13,79.7,51.0,42.5,13.95,25.3
2024-09-06,79.7,51.0,42.5,13.95,25.3
2024-08-30,77.3,49.5,42.5,13.9,25.3
2024-08-23,77.3,49.5,42.5,13.9,25.3
2024-08-16,75.0,48.0,42.5,13.95,25.3
2024-08-09,75.0,48.0,42.5,13.95,25.3
2024-08-02,75.0,47.0,43.5,14.0,25.3
2024-07-26,75.0,47.0,43.5,14.0,25.3
2024-07-19,74.0,46.0,42.0,13.9,25.3
2024-07-12,74.0,46.0,42.0,13.9,25.3
2024-07-05,74.0,46.0,41.0,13.9,25.3
2024-06-28,81.85,58.0,45.0,13.55,25.3
2024-06-21,81.85,58.0,45.0,13.55,25.3
2024-06-14,81.85,58.0,45.0,13.55,25.3
2024-06-07,79.4,56.2,45.0,13.6,25.3
2024-05-31,79.4,56.2,45.0,13.6,25.3
2024-05-24,77.05,54.5,45.0,13.65,25.3
2024-05-17,74.75,52.85,45.0,13.7,25.3
2024-05-10,74.75,52.85,45.0,13.7,25.3
2024-05-03,74.75,52.85,45.0,13.7,25.3
2024-04-26,72.5,51.25,44.5,13.75,25.3
2024-04-19,72.5,51.25,44.5,13.75,25.3
2024-04-12,77.35,49.7,43.5,13.65,25.3
2024-04-05,77.35,49.7,43.5,13.65,25.3
2024-03-29,75.5,48.5,43.0,13.65,25.5
2024-03-22,75.5,48.5,43.0,13.65,25.5
2024-03-15,77.8,51.0,43.0,13.85,26.7
2024-03-08,77.8,51.0,43.0,13.85,26.7
2024-03-01,75.5,50.45,43.0,13.9,26.8
2024-02-23,75.5,50.45,43.0,13.9,26.8
2024-02-16,73.25,48.95,43.0,13.95,26.9
2024-02-09,73.25,48.95,43.0,13.95,26.9
2024-02-02,71.0,47.5,43.0,14.0,27.0
2024-01-26,71.0,47.5,43.0,14.0,27.0
2024-01-19,72.0,48.0,44.0,14.0,27.25
2024-01-12,81.05,53.15,44.25,13.9,28.2
2024-01-05,81.05,53.15,44.25,13.9,28.2
2023-12-29,78.65,51.55,44.25,13.95,28.3
2023-12-22,76.3,50.0,44.25,14.0,28.4
2023-12-15,76.3,50.0,44.25,14.0,28.4
2023-12-08,74.0,51.0,44.75,14.0,28.5
2023-12-01,74.0,51.0,44.75,14.0,28.5
2023-11-24,73.45,53.65,51.0,13.95,29.75
2023-11-17,73.45,53.65,51.0,13.95,29.75
2023-11-10,71.25,52.05,51.0,14.0,29.85
2023-11-03,71.25,52.05,51.0,14.0,29.85
2023-10-27,71.25,50.5,48.5,14.0,29.85
2023-10-20,71.25,50.5,48.5,14.0,29.85
2023-10-13,76.65,56.35,47.75,14.1,31.75
2023-10-06,74.35,54.65,47.75,14.15,31.9
2023-09-29,72.15,53.0,47.75,14.2,32.05
2023-09-22,70.0,54.0,49.0,14.25,32.2
2023-09-15,70.0,54.0,49.0,14.25,32.2
2023-09-08,70.0,54.1,50.0,14.3,32.35
2023-09-01,70.0,54.1,50.0,14.3,32.35
2023-08-25,70.0,52.5,50.0,14.3,32.5
2023-08-18,70.0,52.5,50.0,14.3,32.5
2023-08-11,66.25,52.5,50.0,14.3,32.5
2023-08-04,66.25,52.5,50.0,14.3,32.5
2023-07-28,62.25,52.6,50.0,14.3,32.5
2023-07-21,62.25,52.6,50.0,14.3,32.5
2023-07-14,62.0,53.5,50.0,14.3,33.75
2023-07-07,65.5,56.0,52.75,14.45,34.0
2023-06-30,65.5,56.0,52.75,14.45,34.0
2023-06-23,65.5,56.0,52.75,14.45,34.0
2023-06-16,65.5,56.0,52.75,14.45,34.0
2023-06-09,76.9,63.4,65.0,14.55,34.15
2023-06-02,76.9,63.4,65.0,14.55,34.15
2023-05-26,74.6,61.5,65.0,14.6,34.3
2023-05-19,75.75,67.25,66.25,15.25,34.45
2023-05-12,75.75,67.25,66.25,15.25,34.45
2023-05-05,81.35,76.85,69.25,15.75,34.6
2023-04-28,81.35,76.85,69.25,15.75,34.8
2023-04-21,78.9,74.55,65.6,14.65,34.75
2023-04-14,94.35,85.55,78.45,14.85,36.8
2023-04-07,94.35,85.55,78.45,14.85,36.8
2023-03-31,91.55,83.0,78.45,14.9,36.95
2023-03-24,88.8,80.5,78.45,14.95,37.1
2023-03-17,88.8,80.5,78.45,14.95,37.1
2023-03-10,128.6,97.5,107.0,15.3,37.25
2023-03-03,128.6,97.5,107.0,15.3,37.25
2023-02-24,135.7,100.75,123.75,15.5,37.4
2023-02-17,135.7,100.75,123.75,15.5,37.4
2023-02-10,131.65,97.75,123.75,15.4,37.55
2023-02-03,131.65,97.75,123.75,15.4,37.55
2023-01-27,142.25,117.75,140.0,15.45,37.7
2023-01-20,142.25,117.75,140.0,15.45,37.7
2023-01-13,138.0,115.0,116.0,15.5,37.85
2023-01-06,138.0,115.0,116.0,15.5,37.85
2022-12-30,205.55,209.7,168.25,15.55,41.2
2022-12-23,205.55,209.7,168.25,15.55,41.2
2022-12-16,199.4,203.45,168.25,15.6,41.35
2022-12-09,199.4,203.45,168.25,15.6,41.35
2022-12-02,193.45,197.4,168.25,15.85,41.5
2022-11-25,187.7,191.5,186.5,17.1,41.65
2022-11-18,187.7,191.5,186.5,17.1,41.65
2022-11-11,182.1,185.8,186.5,17.15,41.8
2022-11-04,182.1,185.8,186.5,17.15,41.8
2022-10-28,182.1,185.8,186.5,17.15,41.8
2022-10-21,176.65,180.25,186.5,17.45,41.95
2022-10-14,176.65,180.25,186.5,17.45,41.95
2022-10-07,204.95,187.55,196.75,16.25,42.4
2022-09-30,204.95,187.55,196.75,16.25,42.4
2022-09-23,198.85,181.95,196.75,16.15,42.55
2022-09-16,198.85,181.95,196.75,16.15,42.55
2022-09-09,192.9,176.5,196.65,16.2,42.7
2022-09-02,192.9,176.5,196.65,16.2,42.7
2022-08-26,187.15,145.85,189.7,16.25,42.85
2022-08-19,187.15,145.85,189.7,16.25,42.85
2022-08-12,181.55,141.5,186.5,16.3,43.0
2022-08-05,181.55,141.5,186.5,16.3,43.0
2022-07-29,177.3,142.55,183.5,16.55,41.5
2022-07-22,177.3,142.55,183.5,16.55,41.5
