WEEK_ENDING_DATE,CENTRAL_APP,NORTHERN_APP,ILLIOIS_BASIN,POWDER_RIVER_BASIN,UINTA_BASIN
2025-07-04,79.0,58.0,49.0,14.3,25.3
2025-06-27,79.0,58.0,49.0,14.3,25.3
2025-06-20,79.0,58.0,47.25,14.3,25.3
2025-06-13,79.0,58.0,47.25,14.3,25.3
2025-06-06,79.0,57.0,46.5,14.3,25.3
2025-05-30,79.0,57.0,46.5,14.3,25.3
2025-05-23,79.0,57.0,46.5,14.3,25.3
2025-05-16,79.0,57.0,46.5,14.3,25.3
2025-05-09,78.0,55.0,46.5,14.3,25.3
2025-05-02,78.0,55.0,46.5,14.3,25.3
2025-04-25,78.0,55.0,46.5,14.3,25.3
2025-04-18,78.0,55.0,46.5,14.3,25.3
2025-04-11,78.0,54.0,47.0,14.3,25.3
2025-04-04,78.0,54.0,47.0,14.3,25.3
2025-03-28,78.0,54.0,45.0,14.2,25.3
