period,stateRegionId,stateRegionDescription,coalRankId,coalRankDescription,price,price-units
2001,MAT,Middle Atlantic,TOT,All,25.04,dollars per short ton
2001,UNT,Uinta Basin,SUB,Subbituminous,19.56,dollars per short ton
2001,UNT,Uinta Basin,BIT,Bituminous,18.35,dollars per short ton
2001,UNT,Uinta Basin,TOT,All,18.51,dollars per short ton
2001,WSB,Western Region Total,SUB,Subbituminous,7.0,dollars per short ton
2001,WSB,Western Region Total,LIG,Lignite,8.52,dollars per short ton
2001,WSB,Western Region Total,BIT,Bituminous,20.45,dollars per short ton
2001,WSB,Western Region Total,TOT,All,9.07,dollars per short ton
2001,INT,Interior Region Total,LIG,Lignite,16.3,dollars per short ton
2001,INT,Interior Region Total,BIT,Bituminous,22.08,dollars per short ton
2001,INT,Interior Region Total,TOT,All,20.15,dollars per short ton
2001,WBO,Other Western,SUB,Subbituminous,19.17,dollars per short ton
2001,WBO,Other Western,LIG,Lignite,8.52,dollars per short ton
2001,WBO,Other Western,BIT,Bituminous,24.18,dollars per short ton
2001,WBO,Other Western,TOT,All,17.23,dollars per short ton
2001,INO,Other Interior,LIG,Lignite,16.3,dollars per short ton
2001,INO,Other Interior,BIT,Bituminous,27.92,dollars per short ton
2001,INO,Other Interior,TOT,All,16.84,dollars per short ton
2001,US,U.S. Total,SUB,Subbituminous,7.0,dollars per short ton
2001,US,U.S. Total,LIG,Lignite,13.29,dollars per short ton
2001,US,U.S. Total,BIT,Bituminous,25.67,dollars per short ton
2001,US,U.S. Total,ANT,Anthracite,47.67,dollars per short ton
2001,US,U.S. Total,TOT,All,17.58,dollars per short ton
2001,WMR,West of Mississippi River,SUB,Subbituminous,7.0,dollars per short ton
2001,WMR,West of Mississippi River,LIG,Lignite,13.28,dollars per short ton
2001,WMR,West of Mississippi River,BIT,Bituminous,20.66,dollars per short ton
2001,WMR,West of Mississippi River,TOT,All,9.73,dollars per short ton
2001,EMR,East of Mississippi River,LIG,Lignite,14.59,dollars per short ton
2001,EMR,East of Mississippi River,BIT,Bituminous,26.47,dollars per short ton
2001,EMR,East of Mississippi River,ANT,Anthracite,47.67,dollars per short ton
2001,EMR,East of Mississippi River,TOT,All,26.51,dollars per short ton
2001,WST,West Total,SUB,Subbituminous,7.0,dollars per short ton
2001,WST,West Total,LIG,Lignite,10.49,dollars per short ton
2001,WST,West Total,BIT,Bituminous,20.45,dollars per short ton
2001,WST,West Total,TOT,All,9.1,dollars per short ton
2001,STH,South Total,LIG,Lignite,16.3,dollars per short ton
2001,STH,South Total,BIT,Bituminous,27.4,dollars per short ton
2001,STH,South Total,TOT,All,25.94,dollars per short ton
2001,MID,Midwest Total,LIG,Lignite,8.5,dollars per short ton
2001,MID,Midwest Total,BIT,Bituminous,24.12,dollars per short ton
2001,MID,Midwest Total,TOT,All,20.38,dollars per short ton
2001,EST,East Total,BIT,Bituminous,25.79,dollars per short ton
2001,EST,East Total,ANT,Anthracite,47.67,dollars per short ton
2001,EST,East Total,TOT,All,26.07,dollars per short ton
2001,PRB,Powder River Basin,SUB,Subbituminous,5.68,dollars per short ton
2001,PRB,Powder River Basin,TOT,All,5.68,dollars per short ton
2001,ILL,Illinois Basin,BIT,Bituminous,21.94,dollars per short ton
2001,ILL,Illinois Basin,TOT,All,21.94,dollars per short ton
2001,APS,Appalachia Southern,BIT,Bituminous,34.64,dollars per short ton
2001,APS,Appalachia Southern,TOT,All,34.64,dollars per short ton
2001,APN,Appalachia Northern,BIT,Bituminous,25.25,dollars per short ton
2001,APN,Appalachia Northern,ANT,Anthracite,47.67,dollars per short ton
2001,APN,Appalachia Northern,TOT,All,25.47,dollars per short ton
2001,APC,Appalachia Central,BIT,Bituminous,28.13,dollars per short ton
2001,APC,Appalachia Central,TOT,All,28.13,dollars per short ton
2001,APP,Appalachia Total,BIT,Bituminous,27.48,dollars per short ton
2001,APP,Appalachia Total,ANT,Anthracite,47.67,dollars per short ton
2001,APP,Appalachia Total,TOT,All,27.54,dollars per short ton
2001,AK,Alaska,SUB,Subbituminous,,dollars per short ton
2001,AK,Alaska,TOT,All,,dollars per short ton
2001,PCN,Pacific Noncontiguous,SUB,Subbituminous,,dollars per short ton
2001,PCN,Pacific Noncontiguous,TOT,All,,dollars per short ton
2001,WA,Washington,SUB,Subbituminous,,dollars per short ton
2001,WA,Washington,BIT,Bituminous,28.63,dollars per short ton
2001,WA,Washington,TOT,All,,dollars per short ton
2001,PCC,Pacific Contiguous,SUB,Subbituminous,,dollars per short ton
2001,PCC,Pacific Contiguous,BIT,Bituminous,28.63,dollars per short ton
2001,PCC,Pacific Contiguous,TOT,All,,dollars per short ton
2001,WY,Wyoming,SUB,Subbituminous,,dollars per short ton
2001,WY,Wyoming,BIT,Bituminous,,dollars per short ton
2001,WY,Wyoming,TOT,All,5.8,dollars per short ton
2001,UT,Utah,BIT,Bituminous,19.18,dollars per short ton
2001,UT,Utah,TOT,All,19.18,dollars per short ton
2001,NM,New Mexico,SUB,Subbituminous,,dollars per short ton
2001,NM,New Mexico,BIT,Bituminous,,dollars per short ton
2001,NM,New Mexico,TOT,All,22.02,dollars per short ton
2001,MT,Montana,SUB,Subbituminous,,dollars per short ton
2001,MT,Montana,LIG,Lignite,,dollars per short ton
2001,MT,Montana,TOT,All,8.84,dollars per short ton
2001,CO,Colorado,SUB,Subbituminous,,dollars per short ton
2001,CO,Colorado,BIT,Bituminous,,dollars per short ton
2001,CO,Colorado,TOT,All,18.06,dollars per short ton
2001,AZ,Arizona,BIT,Bituminous,,dollars per short ton
2001,AZ,Arizona,TOT,All,,dollars per short ton
2001,MTN,Mountain,SUB,Subbituminous,6.73,dollars per short ton
2001,MTN,Mountain,LIG,Lignite,,dollars per short ton
2001,MTN,Mountain,BIT,Bituminous,20.43,dollars per short ton
2001,MTN,Mountain,TOT,All,8.89,dollars per short ton
2001,TX,Texas,LIG,Lignite,,dollars per short ton
2001,TX,Texas,BIT,Bituminous,,dollars per short ton
2001,TX,Texas,TOT,All,16.16,dollars per short ton
2001,OK,Oklahoma,BIT,Bituminous,27.07,dollars per short ton
2001,OK,Oklahoma,TOT,All,27.07,dollars per short ton
2001,LA,Louisiana,LIG,Lignite,,dollars per short ton
2001,LA,Louisiana,TOT,All,,dollars per short ton
2001,WSC,West South Central,LIG,Lignite,16.31,dollars per short ton
2001,WSC,West South Central,BIT,Bituminous,28.45,dollars per short ton
2001,WSC,West South Central,TOT,All,16.76,dollars per short ton
2001,TN,Tennessee,BIT,Bituminous,27.57,dollars per short ton
2001,TN,Tennessee,TOT,All,27.57,dollars per short ton
2001,MS,Mississippi,LIG,Lignite,,dollars per short ton
2001,MS,Mississippi,TOT,All,,dollars per short ton
2001,KYW,Kentucky (West),BIT,Bituminous,21.58,dollars per short ton
2001,KYW,Kentucky (West),TOT,All,21.58,dollars per short ton
2001,KYE,Kentucky (East),BIT,Bituminous,27.97,dollars per short ton
2001,KYE,Kentucky (East),TOT,All,27.97,dollars per short ton
2001,KY,Kentucky,BIT,Bituminous,26.78,dollars per short ton
2001,KY,Kentucky,TOT,All,26.78,dollars per short ton
2001,AL,Alabama,BIT,Bituminous,34.64,dollars per short ton
2001,AL,Alabama,TOT,All,34.64,dollars per short ton
2001,ESC,East South Central,LIG,Lignite,,dollars per short ton
2001,ESC,East South Central,BIT,Bituminous,27.77,dollars per short ton
2001,ESC,East South Central,TOT,All,27.73,dollars per short ton
2001,WVS,West Virginia (Southern),BIT,Bituminous,28.22,dollars per short ton
2001,WVS,West Virginia (Southern),TOT,All,28.22,dollars per short ton
2001,WVN,West Virginia (Northern),BIT,Bituminous,23.66,dollars per short ton
2001,WVN,West Virginia (Northern),TOT,All,23.66,dollars per short ton
2001,WV,West Virginia,BIT,Bituminous,27.14,dollars per short ton
2001,WV,West Virginia,TOT,All,27.14,dollars per short ton
2001,VA,Virginia,BIT,Bituminous,28.37,dollars per short ton
2001,VA,Virginia,TOT,All,28.37,dollars per short ton
2001,MD,Maryland,BIT,Bituminous,23.33,dollars per short ton
2001,MD,Maryland,TOT,All,23.33,dollars per short ton
2001,SAT,South Atlantic,BIT,Bituminous,27.26,dollars per short ton
2001,SAT,South Atlantic,TOT,All,27.26,dollars per short ton
2001,ND,North Dakota,LIG,Lignite,8.5,dollars per short ton
2001,ND,North Dakota,TOT,All,8.5,dollars per short ton
2001,MO,Missouri,BIT,Bituminous,,dollars per short ton
2001,MO,Missouri,TOT,All,,dollars per short ton
2001,KS,Kansas,BIT,Bituminous,,dollars per short ton
2001,KS,Kansas,TOT,All,,dollars per short ton
2001,WNC,West North Central,LIG,Lignite,8.5,dollars per short ton
2001,WNC,West North Central,BIT,Bituminous,26.1,dollars per short ton
2001,WNC,West North Central,TOT,All,8.8,dollars per short ton
2001,OH,Ohio,BIT,Bituminous,29.75,dollars per short ton
2001,OH,Ohio,TOT,All,29.75,dollars per short ton
2001,IN,Indiana,BIT,Bituminous,20.7,dollars per short ton
2001,IN,Indiana,TOT,All,20.7,dollars per short ton
2001,IL,Illinois,BIT,Bituminous,23.52,dollars per short ton
2001,IL,Illinois,TOT,All,23.52,dollars per short ton
2001,ENC,East North Central,BIT,Bituminous,24.11,dollars per short ton
2001,ENC,East North Central,TOT,All,24.11,dollars per short ton
2001,PAB,Pennsylvania (Bituminous),BIT,Bituminous,24.61,dollars per short ton
2001,PAB,Pennsylvania (Bituminous),TOT,All,24.61,dollars per short ton
2001,PAA,Pennsylvania (Anthracite),ANT,Anthracite,47.67,dollars per short ton
2001,PAA,Pennsylvania (Anthracite),TOT,All,47.67,dollars per short ton
2001,PA,Pennsylvania,BIT,Bituminous,24.61,dollars per short ton
2001,PA,Pennsylvania,ANT,Anthracite,47.67,dollars per short ton
2001,PA,Pennsylvania,TOT,All,25.04,dollars per short ton
2001,MAT,Middle Atlantic,BIT,Bituminous,24.61,dollars per short ton
2001,MAT,Middle Atlantic,ANT,Anthracite,47.67,dollars per short ton
2002,INT,Interior Region Total,TOT,All,20.13,dollars per short ton
2002,WBO,Other Western,SUB,Subbituminous,19.41,dollars per short ton
2002,WBO,Other Western,LIG,Lignite,8.48,dollars per short ton
2002,WBO,Other Western,BIT,Bituminous,25.06,dollars per short ton
2002,WBO,Other Western,TOT,All,17.47,dollars per short ton
2002,INO,Other Interior,LIG,Lignite,14.94,dollars per short ton
2002,INO,Other Interior,BIT,Bituminous,27.76,dollars per short ton
2002,INO,Other Interior,TOT,All,15.39,dollars per short ton
2002,MID,Midwest Total,BIT,Bituminous,22.72,dollars per short ton
2002,MID,Midwest Total,TOT,All,19.06,dollars per short ton
2002,US,U.S. Total,SUB,Subbituminous,7.64,dollars per short ton
2002,US,U.S. Total,LIG,Lignite,12.52,dollars per short ton
2002,US,U.S. Total,BIT,Bituminous,26.54,dollars per short ton
2002,US,U.S. Total,ANT,Anthracite,47.78,dollars per short ton
2002,US,U.S. Total,TOT,All,17.89,dollars per short ton
2002,WMR,West of Mississippi River,SUB,Subbituminous,7.64,dollars per short ton
2002,WMR,West of Mississippi River,LIG,Lignite,12.48,dollars per short ton
2002,WMR,West of Mississippi River,BIT,Bituminous,20.69,dollars per short ton
2002,WMR,West of Mississippi River,TOT,All,10.06,dollars per short ton
2002,EMR,East of Mississippi River,LIG,Lignite,13.77,dollars per short ton
2002,EMR,East of Mississippi River,BIT,Bituminous,27.52,dollars per short ton
2002,EMR,East of Mississippi River,ANT,Anthracite,47.78,dollars per short ton
2002,EMR,East of Mississippi River,TOT,All,27.49,dollars per short ton
2002,WST,West Total,SUB,Subbituminous,7.64,dollars per short ton
2002,WST,West Total,LIG,Lignite,10.52,dollars per short ton
2002,WST,West Total,BIT,Bituminous,20.52,dollars per short ton
2002,WST,West Total,TOT,All,9.62,dollars per short ton
2002,STH,South Total,LIG,Lignite,14.94,dollars per short ton
2002,STH,South Total,BIT,Bituminous,29.1,dollars per short ton
2002,STH,South Total,TOT,All,27.01,dollars per short ton
2002,MID,Midwest Total,LIG,Lignite,8.46,dollars per short ton
2002,EST,East Total,BIT,Bituminous,27.06,dollars per short ton
2002,EST,East Total,ANT,Anthracite,47.78,dollars per short ton
2002,EST,East Total,TOT,All,27.32,dollars per short ton
2002,PRB,Powder River Basin,SUB,Subbituminous,6.4,dollars per short ton
2002,PRB,Powder River Basin,TOT,All,6.4,dollars per short ton
2002,ILL,Illinois Basin,BIT,Bituminous,22.88,dollars per short ton
2002,ILL,Illinois Basin,TOT,All,22.88,dollars per short ton
2002,APS,Appalachia Southern,BIT,Bituminous,34.65,dollars per short ton
