period,stateRegionId,stateRegionDescription,marketTypeId,marketTypeDescription,price,sales,price-units,sales-units
2023,AK,Alaska,TOT,Total,68.74,1006436,dollars per short ton,short tons
2023,AK,Alaska,OM,Open Market,w,1006436,dollars per short ton,short tons
2023,PCN,Pacific Noncontiguous,TOT,Total,68.74,1006436,dollars per short ton,short tons
2023,PCN,Pacific Noncontiguous,OM,Open Market,w,1006436,dollars per short ton,short tons
2023,WY,Wyoming,TOT,Total,15.24,237249695,dollars per short ton,short tons
2023,WY,Wyoming,OM,Open Market,14.96,143393321,dollars per short ton,short tons
2023,WY,Wyoming,CAP,Captive,15.57,92003083,dollars per short ton,short tons
2023,UT,Utah,TOT,Total,45.01,6868867,dollars per short ton,short tons
2023,UT,Utah,OM,Open Market,57.64,5156925,dollars per short ton,short tons
2023,NM,New Mexico,TOT,Total,48.68,7819304,dollars per short ton,short tons
2023,NM,New Mexico,OM,Open Market,w,4032491,dollars per short ton,short tons
2023,NM,New Mexico,CAP,Captive,w,3786813,dollars per short ton,short tons
2023,MT,Montana,TOT,Total,46.56,29075466,dollars per short ton,short tons
2023,MT,Montana,OM,Open Market,w,17208443,dollars per short ton,short tons
2023,MT,Montana,CAP,Captive,w,7556198,dollars per short ton,short tons
2023,CO,Colorado,TOT,Total,59.12,12616804,dollars per short ton,short tons
2023,CO,Colorado,OM,Open Market,w,5922034,dollars per short ton,short tons
2023,CO,Colorado,CAP,Captive,w,5580483,dollars per short ton,short tons
2023,MTN,Mountain,TOT,Total,21.81,293630136,dollars per short ton,short tons
2023,MTN,Mountain,OM,Open Market,19.38,175713214,dollars per short ton,short tons
2023,MTN,Mountain,CAP,Captive,25.25,108926577,dollars per short ton,short tons
2023,TX,Texas,TOT,Total,18.76,14099859,dollars per short ton,short tons
2023,TX,Texas,OM,Open Market,w,738180,dollars per short ton,short tons
2023,TX,Texas,CAP,Captive,w,13361679,dollars per short ton,short tons
2023,LA,Louisiana,TOT,Total,33.73,279905,dollars per short ton,short tons
2023,LA,Louisiana,OM,Open Market,w,279905,dollars per short ton,short tons
2023,WSC,West South Central,TOT,Total,19.05,14379764,dollars per short ton,short tons
2023,WSC,West South Central,OM,Open Market,49.55,1018085,dollars per short ton,short tons
2023,WSC,West South Central,CAP,Captive,16.73,13361679,dollars per short ton,short tons
2023,MS,Mississippi,TOT,Total,29.14,2930799,dollars per short ton,short tons
2023,MS,Mississippi,OM,Open Market,w,2930799,dollars per short ton,short tons
2023,KYW,Kentucky (West),TOT,Total,55.22,15826072,dollars per short ton,short tons
2023,KYW,Kentucky (West),OM,Open Market,55.5,15066720,dollars per short ton,short tons
2023,KYE,Kentucky (East),TOT,Total,106.96,11386476,dollars per short ton,short tons
2023,KYE,Kentucky (East),OM,Open Market,w,8800918,dollars per short ton,short tons
2023,KYE,Kentucky (East),CAP,Captive,w,101915,dollars per short ton,short tons
2023,KY,Kentucky,TOT,Total,76.87,27212548,dollars per short ton,short tons
2023,KY,Kentucky,OM,Open Market,69.49,23867638,dollars per short ton,short tons
2023,KY,Kentucky,CAP,Captive,333.58,101915,dollars per short ton,short tons
2023,AL,Alabama,TOT,Total,201.95,13139499,dollars per short ton,short tons
2023,AL,Alabama,OM,Open Market,150.42,2295160,dollars per short ton,short tons
2023,ESC,East South Central,TOT,Total,111.61,43282846,dollars per short ton,short tons
2023,ESC,East South Central,OM,Open Market,71.81,29093597,dollars per short ton,short tons
2023,ESC,East South Central,CAP,Captive,333.58,101915,dollars per short ton,short tons
