period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),45868259,MMCF
2023,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),45550850,MMCF
2022,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),43700928,MMCF
2021,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),41676743,MMCF
2020,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),40729927,MMCF
2019,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),40780210,MMCF
2018,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),37325539,MMCF
2017,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),33292113,MMCF
2016,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),32591578,MMCF
2015,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),32914647,MMCF
2014,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),31405381,MMCF
2013,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),29522551,MMCF
2012,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),29542313,MMCF
2011,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),28479026,MMCF
2010,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),26816085,MMCF
2009,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),26056893,MMCF
2008,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),25636257,MMCF
2007,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24663656,MMCF
2006,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),23535018,MMCF
2005,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),23456822,MMCF
2004,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),23969678,MMCF
2003,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24118978,MMCF
2002,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),23941279,MMCF
2001,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24500779,MMCF
2000,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24173875,MMCF
1999,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),23822711,MMCF
1998,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24108128,MMCF
1997,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24212677,MMCF
1996,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24113536,MMCF
1995,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),23743628,MMCF
1994,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),23580706,MMCF
1993,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),22725642,MMCF
1992,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),22132249,MMCF
1991,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21750108,MMCF
1990,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21522622,MMCF
1989,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21074425,MMCF
1988,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20999255,MMCF
1987,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20140200,MMCF
1986,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),19130711,MMCF
1985,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),19606699,MMCF
1984,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20266522,MMCF
1983,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),18659046,MMCF
1982,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20272254,MMCF
1981,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21587453,MMCF
1980,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21869692,MMCF
1979,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21883353,MMCF
1978,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21308815,MMCF
1977,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21097071,MMCF
1976,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20943778,MMCF
1975,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21103530,MMCF
1974,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),22849793,MMCF
