period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2025-04,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4489496.0,MMCF
2025-03,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4490509.0,MMCF
2025-02,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4488354.0,MMCF
2025-01,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4489753.0,MMCF
2024-12,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4485447.0,MMCF
2024-11,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4485353.0,MMCF
2024-10,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4483734.0,MMCF
2024-09,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4482018.0,MMCF
2024-08,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4477315.0,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4472500.0,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4471178.0,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4469399.0,MMCF
2024-04,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4467095.0,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4466868.0,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4467813.0,MMCF
2024-01,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4467640.0,MMCF
2023-12,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4467942.0,MMCF
2023-11,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4464040.0,MMCF
2023-10,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4463174.0,MMCF
2023-09,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4462663.0,MMCF
2023-08,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4463745.0,MMCF
2023-07,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4464915.0,MMCF
2023-06,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4463734.0,MMCF
2023-05,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4465638.0,MMCF
2023-04,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4452175.0,MMCF
2023-03,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4449834.0,MMCF
2023-02,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4450689.0,MMCF
2023-01,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4451525.0,MMCF
2022-12,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4450651.0,MMCF
2022-11,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4442439.0,MMCF
2022-10,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4443108.0,MMCF
2022-09,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4444846.0,MMCF
2022-08,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4445772.0,MMCF
2022-07,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4444395.0,MMCF
2022-06,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4442616.0,MMCF
2022-05,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4441610.0,MMCF
2022-04,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4439756.0,MMCF
2022-03,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4434002.0,MMCF
